country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,13-06-2022,-22,-14,-18,-37,-35,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,14-06-2022,-20,-14,-14,-38,-36,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,15-06-2022,-20,-14,-14,-38,-36,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,16-06-2022,-21,-15,-16,-38,-37,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,17-06-2022,-21,-12,-17,-38,-37,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,18-06-2022,-22,-11,-17,-34,-21,1
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,19-06-2022,-19,-12,-12,-32,-19,0
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,20-06-2022,-21,-15,-13,-40,-44,8
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,21-06-2022,-23,-14,-14,-38,-37,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,22-06-2022,-24,-16,-22,-40,-37,8
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,23-06-2022,-22,-16,-14,-38,-37,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,24-06-2022,-23,-15,-17,-39,-37,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,25-06-2022,-24,-15,-18,-34,-20,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,26-06-2022,-21,-16,-7,-32,-18,2
